type,name,notice,furigana
資源ごみ,IHクッキングヒーター,,あ
資源ごみ,ＩＣレコーダー,,あ
資源ごみ,アイスピック,先端部を紙で包み「危険」と表示して他のごみと分ける,あ
資源ごみ,アイスクリームのカップ容器(プラスチック）,紙製のものは燃やすごみ,あ
資源ごみ,アイロン,,あ
資源ごみ,アイロン台（７０㎝超）,,あ
資源ごみ,アコーディオンカーテン（７０㎝以下）,,あ
資源ごみ,足こぎ四輪車（幼児用）（金属製または電動製）,,あ
資源ごみ,アダプター（各種電気製品用）,,あ
資源ごみ,雨どい,,あ
資源ごみ,編み機,,あ
資源ごみ,網戸（金属以外）,増改築に伴うものは請け負った業者に処分してもらう,あ
資源ごみ,網戸（金属製）,増改築に伴うものは請け負った業者に処分してもらう,あ
資源ごみ,アルミ缶,ひと洗いする・つぶさない・たばこの吸いがらなどを入れない,あ
資源ごみ,アルミサッシ,増改築に伴うものは請け負った業者に処分してもらう,あ
資源ごみ,アルミホイール（自動車用）,タイヤは市で収集しません,あ
資源ごみ,泡立て器（電動式・手動式）,,あ
資源ごみ,安全ピン（金属製）,,あ
資源ごみ,アンテナ（テレビ・BS・CSなど）,,あ
資源ごみ,アンプ,,あ
資源ごみ,ＥＴＣ車載ユニット,,い
資源ごみ,衣装掛け（金属製）,,い
資源ごみ,衣装ケース（金属製）,,い
資源ごみ,いす（金属製）,,い
資源ごみ,板ガラス,,い
資源ごみ,板きれ（７０㎝超）,増改築に伴うものは請け負った業者に処分してもらう,い
資源ごみ,いちごケース,,い
資源ごみ,一輪車,「不用品」と必ず表示,い
資源ごみ,一升びん,酒屋さんなどへ返しましょう・キャップを外してひと洗い,い
資源ごみ,衣類乾燥機台,,い
資源ごみ,インスタント食品のプラスチック容器,,い
資源ごみ,インスタントラーメンの袋,,い
資源ごみ,インテリアライト（「金属以外、７０㎝超」以外）,電球等は外す,い
資源ごみ,ウインドファン（７０㎝以下）,窓用エアコンではありません,う
資源ごみ,ウィスキーのびん,キャップを外してひと洗い・割れたものも回収します,う
資源ごみ,植木台（金属以外・７０㎝超）,,う
資源ごみ,植木台（金属製）,,う
資源ごみ,植木鉢（苗木ポット）,,う
資源ごみ,植木鉢（陶器製）,,う
資源ごみ,ウォーキングマシン（「金属以外、７０㎝超」以外）,,う
資源ごみ,ウォシュレット,増改築に伴うものは請け負った業者に処分してもらう,う
資源ごみ,ウオッシャー液のプラスチックボトル,キャップを外す・中身を使いきってひと洗い,う
資源ごみ,浮き輪（７０㎝超）,空気を抜いて,う
資源ごみ,臼,,う
資源ごみ,乳母車（７０㎝以下）,全体の８０％以上金属のものは、埋立ごみの日の金属へ,う
資源ごみ,梅酒（自家製）のびん,,う
資源ごみ,運搬用一輪車,,う
資源ごみ,液体ワックスのプラスチックボトル,キャップを外す・中身を使いきってひと洗い,え
資源ごみ,ＡＣアダプタ,,え
資源ごみ,ＭＤプレーヤー,,え
資源ごみ,枝きれ（７０㎝超）,ひもでしばって束ねて１回３束程度を目安に・多い場合は有料戸別収集で,え
資源ごみ,枝豆のネット,,え
資源ごみ,ＬＥＤ蛍光灯・ＬＥＤ電球,※LEDには、水銀は使用されていません,え
資源ごみ,塩化ビニル管,,え
資源ごみ,縁台（金属以外・７０㎝超）,,え
資源ごみ,縁台（金属製）,,え
資源ごみ,延長コード,,え
資源ごみ,煙突（ストーブ用、金属製）,,え
資源ごみ,鉛筆削り（電動製）,,え
資源ごみ,オイル缶,中身が残っているものは市で収集しませんので専門業者に処分を依頼してください,お
資源ごみ,オイルヒーター,中のオイルが残っていても、けっこうです,お
資源ごみ,王冠（金属製）,,お
資源ごみ,王冠（プラスチック製）,,お
資源ごみ,オーディオラック（金属以外、７０㎝以下）,,お
資源ごみ,オーディオラック（金属製）,,お
資源ごみ,オーブン,,お
資源ごみ,オーブントースター,,お
資源ごみ,オーブンレンジ,,お
資源ごみ,お菓子の缶（２５㎝未満）,,お
資源ごみ,お菓子の缶（２５㎝以上）,,お
資源ごみ,桶（金属以外・７０㎝超）,,お
資源ごみ,桶（金属製）,,お
資源ごみ,押しピン（頭がプラスチックのもの）,封筒などにいれて、｢危険｣と書く　　,お
資源ごみ,おもちゃ（金属製または電動製）,,お
資源ごみ,折りたたみいす（金属製）,,お
資源ごみ,折りたたみテーブル（金属製）,,お
資源ごみ,オルガン（７０㎝以下）,,お
資源ごみ,オルゴール,全体の８０％以上金属のものは、埋立ごみの日の金属へ,お
資源ごみ,温水洗浄機付便座,増改築に伴うものは請け負った業者に処分してもらう,お
資源ごみ,温度計（水銀を含む）,,お
資源ごみ,温度計（水銀を含まない）,,お
資源ごみ,温風機,,お
資源ごみ,温冷庫,,お
資源ごみ,カーカラーテレビ,,か
資源ごみ,カーＣＤプレーヤー,,か
資源ごみ,カーステレオ,,か
資源ごみ,カセットボンベ,使い切ってから火気のない屋外で穴をあける,か
資源ごみ,カーテン（７０㎝超）,広げたときに７０㎝を超えているものは、埋立ごみ,か
資源ごみ,カーテンレール（金属製）,,か
資源ごみ,カーナビゲーションシステム,,か
資源ごみ,カーラジオ,,か
資源ごみ,貝殻（食べ残し以外、置物等）,,か
資源ごみ,懐中電灯,電池はとる,か
資源ごみ,回転ハンガー（金属製）,,か
資源ごみ,カイロ（懐炉）,全体の８０％以上金属のものは、埋立ごみの日の金属へ,か
資源ごみ,鏡（７０㎝以下）,,か
資源ごみ,学習机（金属製）,,か
資源ごみ,家具調こたつ（７０㎝以下）,,か
資源ごみ,額縁（金属以外）,はめ込み板がプラスチック製であれば、燃やすごみ,か
資源ごみ,額縁（金属製）,,か
資源ごみ,傘,,か
資源ごみ,傘立て（陶器製）,,か
資源ごみ,傘立て（金属製）,,か
資源ごみ,傘のほね（金属製）,,か
資源ごみ,加湿器,,か
資源ごみ,菓子の袋,裏が銀色でも対象,か
資源ごみ,菓子のプラスチック容器,,か
資源ごみ,ガスオーブン・ガスオーブンレンジ,,か
資源ごみ,ガス釜,,か
資源ごみ,ガスコンロ,,か
資源ごみ,ガスストーブ,,か
資源ごみ,ガス台（７０㎝以下・金属以外）,,か
資源ごみ,ガス台（７０㎝以下・金属製）,,か
資源ごみ,ガステーブル,,か
資源ごみ,ガスレンジ,電池はとる,か
資源ごみ,カセットコンロ,ボンベは外す,か
資源ごみ,カセットデッキ,,か
資源ごみ,カッターナイフ,刃を紙で包み「危険」と表示して他のごみと分ける,か
資源ごみ,カップ酒のびん,キャップを外してひと洗い,か
